Tool Code,Tool Name,Category Name,Tool Size,Supplier Name,Supplier Model Number,Current Stock,Minimum Stock,Lifespan Type,Lifespan Limit,Description
D-08,.80 DRILL,TWIST DRILL,0.8,N/A,N/A,5,5,time,200,High-speed steel drill bit for general purpose drilling
D-11,1.1 DRILL,TWIST DRILL,1.1,N/A,N/A,5,5,time,200,Carbide end mill for precision milling operations
D-115,1.15 DRILL,TWIST DRILL,1.152.5-450L,J-GIGONG,1.15 (N/A),1,1,time,200,Digital caliper for precise measurements
D-115,1.15 DRILL,TWIST DRILL,1.15 MM WX-MS-GDS DRILL,OSG,3300115,3,3,time,200,Torque wrench for accurate bolt tightening
D-117,1.17 DRILL,TWIST DRILL,1.17,SPHINX TOOL,ART56033-PD26033,5,5,time,200,Angle grinder cutting disc
D-118,1.18 DRILL,TWIST DRILL,1.18,N/A,1.18 (N/A),4,4,time,200,Tungsten carbide insert for turning operations
D-119,1.19 DRILL,TWIST DRILL,1.19,CHHRING,3899-1190,6,6,time,200,Safety glasses for eye protection
D-12,1.20 DRILL,TWIST DRILL,1.2,SPHINX TOOL,ART56033-PD42040,8,8,time,200,Complete drill bit set in various sizes
D-12,1.20 DRILL,TWIST DRILL,1.2,GUHRING,3899-1200,7,7,time,200,Thread tap for M6x1.0 threads
D-12,1.20 DRILL,TWIST DRILL,1.2MM WX-MS-GDS,OSG,3300120,2,2,time,200,Cutting fluid for machining operations
